playlist_id,track_ids
683,14247 9269 9913 10953 12162 12584 13957 14097 14668 8381
686,9168 15327 13987 10454 10203 2988 17438 9067 19399 5683
704,12881 19584 18355 17965 16798 13760 13689 12987 12557 11638
709,8547 7890 7482 7309 6714 5829 8628 5075 4725 4116
714,3565 10280 9944 9718 9462 9388 9099 8645 10521 8171
719,12042 10361 10222 9053 6616 2676 1068 18169 16274 2680
721,10778 1836 935 834 687 244 4587 7818 9343 2852
724,8564 19486 19006 18000 17550 15502 1412 2553 7411 7293
731,10500 14849 14668 14247 14097 13957 12584 10953 9414 9269
735,17826 5978 5707 5669 5658 4569 3875 3827 3576 3333
737,508 20095 19705 17919 17234 16815 13451 12771 12177 10481
740,20157 5267 8344 4381 220 1921 3037 19477 10322 12076
744,13750 4223 2857 2479 1864 874 548 4590 19413 18492
746,2047 3720 6728 7026 17555 18448 18490 1894 2458 4733
774,9988 15134 14904 14378 13593 16208 8618 8581 5751 5663
788,9422 15466 14571 14499 14239 13094 13066 12750 11977 11947
818,13476 533 13460 13350 13219 13154 12020 16784 10817 13545
859,1322 2792 4128 7908 18293 20586 18995 13632 714 5925
914,16831 1149 3996 4319 4993 5878 5905 8152 11744 14178
924,18158 20071 17301 15706 11870 11835 19693 11160 9044 6909
925,5648 3869 2711 2551 4689 10149 13875 15116 8047 13703
926,1299 425 99 7163 10213 16069 16997 18168 3727 1532
927,18870 6511 12479 16879 16808 13532 7363 1979 11263 13294
949,7198 7001 6956 6919 6859 6602 6263 6246 5978 5707
957,12448 19464 18111 17052 15042 14876 10587 9480 4268 2783
961,11688 12395 12895 13161 13973 14147 14210 14961 16827 18011
988,5200 5500 6825 8942 11670 16762 17586 17608 18448 18490
994,11142 20291 18299 17879 16699 16351 15260 13579 13384 12194
1016,443 11479 11968 12775 12960 13385 14100 14172 14204 14586
1021,11926 17383 18994 19135 16494 15834 15789 15410 1246 2099
1027,9267 7962 7343 6575 6360 6038 6003 5060 5013 4718
1046,20388 20016 19773 19567 19129 18981 17970 16823 16614 16225
1057,8523 8226 9963 12406 10118 14091 17153 18989 20618 13604
1065,8426 7781 10838 12120 12466 18256 18287 18956 20323 20470
1066,18580 11573 7904 7700 7499 9859 7039 6466 3622 2897
1087,1048 11479 11968 12775 12960 13385 14100 14172 14204 14586
1092,14319 1767 2923 6784 8446 9755 10964 15728 15747 16499
1099,2048 19584 18355 17965 16798 13760 13689 12987 12881 12557
1103,5859 11977 11947 10743 10310 9947 9792 9422 9353 8627
1108,7813 5864 6523 12241 14053 15567 15655 18881 19124 19128
1115,7321 4633 4191 4135 4058 2081 718 635 19413 19394
1120,18983 4737 19851 16282 15682 13663 13459 12258 3937 9830
1126,15862 15731 15492 11393 10507 10173 8949 6794 6288 5105
1129,1367 12041 11049 7282 5384 4951 4430 3633 2914 2525
1147,19588 14784 13238 10257 8139 7718 4150
1163,15584 7544 9354 9937 16324 18635 14978 8462 6868 5201
1169,9047 16087 8344 9098 9824 12295 12076 12398 10322 4381
1174,12830 9023 9465 10932 11045
1238,14724 15373 15582 15599 15767 15770 15826 16220 16307 17464
1254,9291 2437 2037 1975 1764 1719 1196 725 723 689
1274,18457 19974 17649 17487 17405 16741 11115 11001 9690 14175
1285,16905 11648 12668 13624 8849 15873 6426 5193 4850 4346
1302,19625 918 14827 18763 19300 18757 17166 15056 13113 12742
1316,14196 5552 5712 6068 8614 9953 11793 12581 8720 13741
1319,20085 4963 10698 15972 1664 305 3473 8197 17026 17265
1341,138 12638 12822 14482 18446 18541 19250 18001 14249 5359
1346,20353 12768 8725 8683 770 2199 8356 7516 11251 6028
1350,4591 20533 12346 11591 6257 4370 3183 4223 4590 16157
1353,18389 664 4127 5928 12438 12467 16612 11959 10070 9712
1363,1127 20282 19138 18874 18628 18161 16831 16585 15771 14178
1371,13803 13632 8278 5925 2005 20586 8792 8809 9762 11998
1379,9083 4281 6569 7469 1933 16128 16477 18316 18352
1383,15429 335 934 2249 2338 3223 3700 4344 4398 4544
1390,19421 3313 3804 4312 6085 6428 9300 10123 11749 11919
1398,19343 12974 13024 13592 15406 15705 15828 15968 17536 17699
1404,10465 17903 18823 19019 8948 660 616 2937 13291 17223
1415,93 16630 16199 16108 13561 13418 12414 8125 6712 1681
1417,2099 8652 9613 12573 15891 11752 8032 19146 18806 16864
1454,285 10656 12762 12989 13637 14038 14667 15837 16396 16583
1456,765 18945 18358 16163 13251 12997 2950 8021 6444 4355
1463,3996 1127 1149 1372 4319 4993 5905 11744 12783 14178
1481,12910 5412 5147 4633 4191 4135 4058 2081 718 635
1505,4584 19006 18000 17550 15502 11774 9184 8564 7293 7208
1519,482 18493 17786 17568 17562 15713 15710 15229 14665 13548
1524,20461 18231 16873 16190 15064 14659 14282 14046 13210 10217
1534,2392 3963 7029 8297 10002 10167 10228 14384 15543 17287
1542,20244 214 3131 4298 4648 5473 9527 14136 19295 17367
1545,16045 15379 15269 13852 13792 18369 19192 19871 20546 1913
1554,12987 19602 19584 18355 17965 16798 13760 13689 12881 551
1560,17255 10973 1342 352 19507 18815 15430 8487 5680 4513
1588,8639 9784 10251 10884 11572 11715 11772 12180 13089 13129
1590,15328 9130 9365 1831 2173 4811
1601,19745 20196 666 914 1192 1370 1458 2060 2166 2575
1637,19347 16127 15584 14978 8462 6868 5201 1253 1386 15739
1639,18987 19028 10799 9843 9602 9093 3768 521 13886 569
1661,7351 6379 11703 12218 13194 17951 18270 2994 12720 4285
1673,9508 18580 11573 10572 9859 7904 7700 7039 7076 3622
1679,20486 7807 7941 8381 9269 9414 9913 10953 12162 12584
1682,11753 6036 6145 7379 9339 9778 10715 13884 3889 13465
1692,1476 5849 6154 15029 1910 10592 10627 6439 12787 13909
1701,5625 7098 18490 18448 17608 17586 16762 11670 8942 8892
1703,1260 19718 15374 14346 13801 11660 10629 10336 10264 9705
1712,13006 8093 8756 8926 8956 9427 9511 10219 10529 10857
1713,221 20472 15725 15249 14173 13971 13823 16865 10776 12239
1729,10743 15466 14571 14499 14239 13094 13066 12750 11977 11947
1730,12248 15369 15099 14595 13564 13428 12665 11885 11554 17770
1731,8296 15364 16489 8102 12179 10019 7417 6410 5587 2029
1734,11663 5169 4057 12999 13513 13671 14309 15088 18058 6981
1740,14586 9958 10193 10269 11479 12775 12960 13385 14172 14204
1742,899 20251 19974 18457 17649 17584 17487 17405 16741 14826
1747,6603 10237 14690 17321 18504 14332 2645 513 836 1471
1755,19169 17143 15400 14944 14849 14668 14247 14097 13957 12584
1766,14301 16931 13400 8134 4202 5154 3121 2957 2544 1422
1807,14239 9903 9947 10310 11306 11947 11977 12750 14499 14571
1814,19146 18806 18608 17345 17201 12784 18200 10822 3997 6873
1820,1279 8111 9026 10117 12022 13218 13325 17141 18156 6217
1852,12362 2692 369 19499 19120 17669 17520 17279 16740 16297
1854,15570 689 6294 6331 6565 6837 7326 7728 7833 8136
1871,20013 19711 18683 17534 16211 7446 15256 5558 2890 319
1880,17523 13551 14007 15926 17157 18074 19449 19551 20381 20425
1881,2581 3876 4346 4850 5193 6426 8540 11648 12668 13402
1883,1490 11369 11414 12085 12622 13084 13731 15789 15834 17484
1885,899 1130 1869 2536 3278 3790 3934 4162 5030 5799
1898,3700 4344 4398 4544 5539 5610 5950 6985 7498 7667
1904,16632 16362 16601 8391 16750 17333 17390 17503 17525 17813
1907,20471 3740 5515 9010 14151 15326 4579 19617 20583 9307
1912,6178 6242 6294 6331 6565 6837 7326 7728 7734 7833
1916,5368 9401 1444 5888 14236 14401 19801 3204 9961 10841
1927,7565 9009 9651 11403 11693 16471 18982 19163 19704 19721
1953,7194 18144 18127 18073 16660 16093 10609 5050 20333 14022
1958,14914 12192 17007 13873 13826 13655 13340 11318 10078 9116
1959,8784 2043 1472 1386 1253 18172 17409 12825 11681 9430
1963,2855 17961 16760 16089 10387 9730 9105 8058 748 792
1967,18100 20065 14535 13735 7990 6092 5230 4309 2608 937
1978,20632 5864 6523 7813 12241 13100 14053 15567 18862 15655
1979,13545 13704 13779 13867 14170 14626 15186 16092 16144 16784
1986,10619 272 4225 5715 11141 16417 17208 477 1269 3304
2005,14668 5036 3749 3672 3500 1095 6648 956 638 17524
2014,16820 13894 12834 12639 12497 12182 11107 10624 9710 9537
2015,20322 18205 17634 16262 15594 15109 14024 13824 13622 13597
2022,1197 19662 18920 18619 18401 17995 14437 16475 1757 9488
2042,5030 6677 5799 4162 3934 3790 3278 2536 1919 1869
2061,3602 20470 20323 20184 18956 18256 10654 8426 12120 7578
2068,5169 2888 4057 4259 6981 11663 12999 13513 13671 18058
2070,10669 9592 9640 10550 10817 10843 12016 12020 13219 13350
2080,2615 2151 15900 18399 19214 14008 13478 7485 7033 6518
2125,17688 2078 1243 702 550 457 125 15128 13093 12687
2134,32 13452 14028 14294 14573 15883 16124 16987 17231 17429
2142,16053 17341 18038 19768 12670 12231 11226 5782 3579 2806
2162,15705 9965 9429 9371 8905 8828 8785 8611 8477 7403
2164,18834 16452 15995 15851 13797 13678 13463 16711 13272 13153
2171,13460 9202 9592 9640 10550 10669 10817 10843 12016 12020
2174,15570 15413 15333 14777 14770 14255 14023 13894 12834 12639
2180,16760 1610 2855 3092 4186 7457 8058 9730 10387 16089
2185,18019 7000 11282 18854 3535 9853 16716
2213,19735 19054 18063 16298 15329 1685 13156 8608 5076 4177
2227,356 16931 13400 8134 5154 6188 8435 15546 17419 18097
2229,2412 19568 18487 17650 17307 16881 15741 14757 13429 162
2240,15457 19936 19691 19581 19257 19142 18968 17450 16549 16034
2246,10150 1102 1531 2120 3651 4839 5273 5739 8380 9152
2251,11133 10672 8626 6604 3444 15074 18849 18040 6701 1268
2261,11896 12717 12774 13332 15795 16010 16985 17326 18440 1633
2275,20586 13803 13632 8278 5925 2005 4111 14154 16565 10299
2277,28 20546 19871 18369 17494 16254 15379 15269 13852 10854
2278,19305 15666 15451 13776 13535 12087 1219 10999 9701 9457
2280,15782 6191 6600 6876 8643 9353 9422 9792 9903 9947
2292,5967 1813 2927 3956 3049 7451 8102 8962 9805 11866
2306,648 10219 9956 9511 9427 8956 8926 8756 8229 10529
2307,3839 7172 18907 20223 17689 12708 15472 12709 12123 11812
2312,17182 13050 8343 6964 2211 20332 18135 18844 14623 13841
2322,19588 10257 9062 8406 8139 6456 6182 4150
2342,8009 10172 11675 370 1009 1157 1411 2471 2610 3236
2358,20546 19871 18369 16254 16045 15379 15269 13852 12888 10854
2363,5439 8635 11033 4250 15449 15521 2284 5612 12596 14809
2364,7198 10219 9956 9511 9427 8956 8926 8756 8093 10529
2371,6732 512 1951 1959 5872 6230 6534 7356 7523 7810
2374,18953 9996 9012 8971 6821 6272 5133 4939 4672 4607
2375,2782 14111 3932 17795 18142 18481 14148 4444 10401 8723
2389,76 19589 19846 18730 17822 17670 19169 16763 15452 15190
2416,791 7690 9402 9619 9852 11151 11503 12082 12405 12457
2420,8437 1840 6433 9491 519 14128 18281 15038 18836 17003
2431,15735 15413 15333 14777 14770 14702 14255 14023 13894 12834
2433,19806 3211 3758 4394 5164 5213 5625 6176 6273 7098
2444,12497 17597 17040 16820 16772 16698 16517 16314 16236 15930
2473,20417 12396 18989 17153 14091 13604 10118 9963 8721 20618
2484,18493 17786 17562 16406 15710 15499 15229 14665 13959 13548
2515,305 8197 4009 4303 4463 4518 6517 7588 7600 8304
2517,20536 5793 5212 5006 3799 2049 6655 1399 340 20279
2519,13823 221 1069 1899 2436 3499 3683 5112 6847 10776
2524,3974 4180 4706 4982 7408 7689 8533 8639 9784 10251
2527,1096 4249 10358 12226 15424 19214 13478 19431 9960 10420
2545,15400 12162 12584 13957 14247 14668 14849 14944 17143 17524
2546,18381 17961 16760 14591 10387 9730 9105 8058 19962 4186
2547,14114 6191 5859 4359 3698 3660 3001 2812 2272 2002
2559,389 15571 18303 8698 7768 7547 4138 10735 18550 19152
2561,1345 20075 14780 2214 6094 4574 17634 18205 20322 17104
2580,2777 16741 17405 17487 17584 17649 18457 19974 20251 11001
2589,19991 9353 9422 9792 9903 9947 10310 10743 8643 11306
2593,12497 12182 11107 10624 9710 9537 8963 8953 8573 8464
2598,8611 4071 3173 624 12974 13024 13592 15406 15705 15828
2605,4739 9084 10934 2880 3160 3163 3242 5749 6461 6624
2622,16127 5201 8462 15584 14978 10379 9257 8709 5267 20157
2624,1394 1111 899 17859 16215 16074 14739 13562 11689 8377
2634,20157 5267 19533 16227 910 13406 2618 15282 4456
2664,20056 19500 18922 12282 7387 20085 6914 238 2755 1130
2665,10225 5523 18817 15428 11353 8523 9689 8226 10118 12406
2666,4850 6426 8540 15873 16905
2680,19475 18344 18112 17647 17111 17103 13960 17348 11595 11102
2696,6354 2109 2845 3252 4632 4946 5453 15580 2046 7092
2697,6239 17821 11396 8119 7051 5302 7143 7841 10987 11679
2713,2902 14044 13202 10499 10000 9959 9107 8493 4673 3639
2717,910 19533 16227 15282 19700 8502 7504 5474 4456 4371
2727,16810 8643 9353 9422 9792 9903 9947 10310 11306 11947
2730,17234 12177 7594 14166 12771 13451 17012 17230 17919 19705
2732,14453 11498 12115 12144 12637 12932 13165 13207 13783 13943
2734,20586 11977 11947 11306 10743 10310 9947 9792 9422 9353
2742,443 11479 11968 12775 12960 13385 14100 14172 14204 14586
2769,2045 16544 16105 3292 4379 11327 6339 9568 10839 11372
2777,18827 16373 14541 10448 6660 2015 577 4462 4384 15521
2793,1157 1411 2471 2610 3236 3491 4501 4551 5785 6311
2807,17546 15499 15710 15713 16406 17562 17786 18241 18493 20216
2817,19224 13742
2829,12450 6908 6524 5387 3741 3378 3281 3099 6948 3089
2833,19390 10839 10500 9568 6339 5620 800 11878 11372 10139
2837,9511 9956 10219 10529 10857 11421 12345 12879 13006 13034
2856,17669 10377 11127 11945 19120 12971 7131 15550 16293 16740
2868,637 13412 13669 13750 13895 13997 14078 14220 14480 14861
2873,12637 12726 12932 13165 13207 13783 13943 14453 14734 15268
2898,15686 14033 9231 8673 3680 2273 2494 4492 6615 15124
2909,937 115 705 828 2608 5230 7990 13735 18100 20065
2917,3925 15333 14777 14770 14702 14255 14023 13894 12834 12497
2922,13895 13997 14078 14220 14480 14861 15431 15603 16379 16767
2934,835 19457 20322 17634 16262 15594 15109 14024 13824 13622
2939,3102 8599 9598 1384 14983 15051 16580 18795 18820 19471
2957,15975 11143 11210 11320 12185 13229 13399 13653 14436 14441
2965,9911 12426 12692 13439 13520 13614 13645 14581 15271 16173
2973,10636 6799 7397 7404 8383 8412 9118 9578 11101 13551
2988,11283 15828 15968 17536 17909 18018 18196 19051 19374 19782
3025,12776 2098 2884 3821 4552 6361 7932 8074 8894 10552
3043,1713 1787 4121 4949 5105 6288 6794 8949 10173 10507
3045,548 14820 15018 15334 16157 16764 17277 17465 17579 17613
3049,18165 17864 17406 15644 13318 12564 11594 1117 10209 9605
3051,13425 20073 18176 18151 17915 17751 17652 17370 16681 16535
3086,648 15748 15735 15680 15669 15570 15413 15333 14777 14770
3092,11803 427 1537 4367 13259 7583 8328 9641 15438 15581
3103,1726 4488 8066 19164 19064 14155 12651 8990 5799 5030
3105,5858 6401 15228 15909 18665 1125 1707 3687 4086 4250
3131,3676 3589 14522 8265 5973 8854 9317 10891 11287 11425
3146,18779 7039 6466 4865 3622 2897 2853 2547 2371 1687
3183,3597 5918 1902 1655 134 18970 19460 19904 8226 8514
3192,12041 19703 19732 342 2179 2525 3633 4430 4951 5384
3196,7904 18580 14037 11573 10572 9859 9508 7700 7499 7076
3200,18948 18244 6313 13672 17589 16503 480 3420 3781 3818
3201,19783 6178 6242 6294 6331 6565 6837 7326 7728 7734
3232,12010 2818 3560 4389 5773 6590 7060 7565 8622 9009
3244,9161 5948 706 20458 17732 16665 14884 9600 4737 15462
3245,2807 18898 10561 15798 2455
3246,222 10980 11013 11369 11414 12085 12622 13084 13731 15789
3248,1341 3356 3396 8417 6330 4742 5248 17636 5966
3263,9463 7462 20592 19317 18707 10837 17997 17707 17464 16307
3274,8574 8407 8305 8294 8106 6849 6673 6149 218 753
3278,8963 8136 8464 8573 8767 9291 9537 9710 10624 11107
3287,762 11688 12114 12395 12835 12895 13161 10584 13973 14210
3290,15949 19001 17268 16208 15193 15134 14904 14378 9752 9518
3292,13760 565 2048 3514 3830 5235 7984 10399 19602 19584
3320,18854 7000 9912 9579 9498 9412 8544 8499 8275 6203
3326,7905 1841 3085 3153 6743 6786 7228 12393 13172 13198
3329,16383 16440 17491 2170 2212 2906 4114 4230 4549 6066
3334,18409 16140 11330 8178 6561 2342 10458 12134 20483 3279
3338,16932 14519 16466 16474 16821 17203 19939 20134 20268 1620
3353,10292 10518 128 918 1357 10736 13113 1669 18757 19625
3354,8564 9184 11774 15502 17550 19006 19486 521 9602 9843
3357,51 8932 6806 15718 8542 7714 5958 3544 2481 8172
3386,17406 17864 18165 18761 16557 272 4225 5715 10619 11141
3394,20329 17369 9217 5061 11930 5338 10918
3409,10466 3817 3453 2858 2132 1715 1209 838 285 17058
3415,12182 12834 12639 12497 19912 11107 10624 9710 9537 9291
3477,16701 16135 14017 826 8747 3228 15667 6193 5909 6024
3482,8725 12768 20353 3600 2199 770 317 8683 3951 18257
3488,6331 6294 6242 6178 5180 4809 4807 4731 4436 4364
3497,16127 15584 14978 4616 8462 6868 5201 19596 12745 13531
3511,14813 460 647 1502 405 19390 11878 11372 10839 10500
3523,5273 4839 4496 3651 2120 1531 1102 456 20403 19186
3531,20153 910 1300 19700 4371 4456 5474 7504
3532,17701 6242 6294 6331 6565 6837 7326 7728 6178 7734
3535,1975 1764 2037 2437 2930 2984 3644 15680 15735 15748
3547,638 14944 15400 17143 17524 18301 19169 19589 19838 19846
3561,16631 11014 7332 20417 214 2770 3131 4298 4648 5473
3567,1275 20251 19974 18457 17649 17584 17487 17405 16741 14826
3571,42 9511 9956 10219 10529 10857 11421 12345 12879 13006
3578,3937 12258 13459 13663 15682 16282 3939 7621 19851 9830
3589,12762 10624 11107 12497 12639 12834 13894 14023 14255 14702
3596,11945 10930 11127 6659 12362 15550 15913 16293 17279 12971
3634,18712 18392 1251 1722 8040 17704 16548 17046 17142 11939
3645,1812 8431 6604 3444 5481 4771 10672 8626 13300 20306
3650,7208 7411 7293 19486 6043 5142 4584 2553 1412 9184
3678,3283 3381 5656 8021 12323 12997 13251 16163 2950 16797
3696,13076 15908 7478 6099 5649 2273 1461 5505 6261 6539
3704,5063 8597 8453 8450 7982 7184 7047 6921 6739 6236
3711,122 15805 14935 12813 12261 11474 10699 7946 7765 3257
3712,14270 7888 14210 7416 7298 6446 5667 3341 3219 2836
3720,15648 13705 12410 984 5853 17867 16738 16445 16116 15081
3728,872 6226 6239 6823 7143 7841 10987 11679 13768 14592
3746,15271 14581 13645 13614 13520 13439 12692 12426 12338 11965
3747,18870 6511 12479 15263 13838 5822 6157 6416 8085 9114
3759,11546 13884 17129 17331 2415 7115 11734 6943 6655 13810
3780,5833 8418 8570 8982 9432 9739 9925 10339 11155 17420
3784,285 838 1209 1715 2132 2858 3453 3817 6459 6884
3798,19027 2262 7827 17992 15412 15221 14660 13038 11352 20043
3805,6868 6408 5201 19863 17996 12702 8462 7717 4598 30
3807,18051 9036 2299 15260 13579 13384 12194 9805 11866 16351
3808,11772 914 1192 1370 1458 2060 2575 2649 2886 3565
3816,15499 1195 1393 2388 3667 3762 5270 5571 5997 6015
3822,10757 16098 16656 17925 10553 4096 16619 8720 18424 18817
3827,5022 18357 11741 10971 5733 8676 7291 10855 11520 11685
3851,15995 19414 19223 18834 18557 18453 18351 18327 18288 17546
3863,20101 14978 9003 8462 6868 5201 6068 14616 4857 1527
3872,16447 16339 13744 11919 11749 11313 10123 16847 6428 5668
3875,19551 2078 2117 3177 4069 4376 5047 6799 7397 7404
3888,14337 20046 19241 16176 13538 13455 12625 12203 9829 9819
3893,1310 19485 17799 16551 11331 9121 4760 4098 9577 1498
3898,19550 19770 19834 1136 2948 6155 6810 7148 19355 9635
3910,16208 19001 17268 15949 15193 15134 14378 9988 9518 8618
3916,19568 2412 2868 3521 4000 5336 5929 6949 10112 12126
3918,3691 2289 2387 3712 4097 5708 9352 9619 9852 11503
3933,14770 15333 14777 14702 14023 13894 12834 12639 12497 4161
3940,13824 20322 16262 15594 13622 18205 15109 14024 394 835
3944,19369 6562 19448 19713 19800 20019 6160 5831 4469 4302
3946,15620 10612 11046 11279 11522 11962 12248 12304 12897 16000
3954,14661 14968 15677 16076 16568 16626 17411 18278 19370 20177
3959,4119 3358 3334 1699 1313 16579 15067 7682 10686 9380
3968,19699 16772 16698 16517 16314 16236 15930 15748 15735 15680
3969,8712 10570 9138 14363 4665 4388 3940 1942 1078 16617
3971,14608 12510 10213 7163 3727 1532 1299 782 425 99
3984,9354 9937 12907 16324 18275 18635 19340 3680 6776 8673
4000,12220 12396 14636 19664 11811 10825 16905 17019 9425 19507
4008,1959 1951 512 20461 19248 19229 12524 11512 10588 10016
4013,5584 10326 10141 9996 9012 8971 8301 6272 5133 4939
4023,15781 12450 12154 9406 8195 7465 7394 6524 3741 3378
4036,8162 7272 6383 8879 13661 16126 3021 2075 15465 12093
4058,4258 20569 19306 16349 5051 3777 3008
4082,3340 5717 9715 9163 8358 8142 11928 7814 6405 4909
4091,18122 14668 14849 14944 15400 17143 17524 18301 19169 19589
4112,8749 8831 9136 9215 9528 10989 13912 14558 14656 15810
4119,18019 16697
4124,16062 582 16495 861 3181 327 5626 7203 7514 12529
4142,2158 14880 13070 12073 11405 9668 7440 6775 4172 2740
4151,10300 8815 8691 8522 8232 7820 7706 7095 5904 5633
4154,5091 579 212 55 18213 14330 12052 9238 784 1180
4165,18940 18990 1253 1386 1472 2043 5688 6697 8045 8784
4174,8462 15584 14978 12623 6868 5201 13035 1653 7936 8338
4182,18830 18290 15720 14459 13008 12368 11940 9933 9678 8701
4186,11578 10837 7462 17766 19605 4422 10419 3977 3617 3551
4188,8107 16617 19536 18859 17622 17158 16800 13556 12718 11750
4189,14175 11115 11001 10848 9690 9342 5621 14826 5206 3856
4193,19860 8720 19809 19441 18382 17687 15103 14259 13617 13491
4195,5324 3483 3597 4212 6203 8499 8539 8544 9498 2255
4216,791 1085 4813 6399 8586 8651 8967 4852 10644 11664
4226,14644 19724 15943 14031 12814 11083 6327 811 3196 4141
4231,19390 11878 9568 5620 6339 800 4347 19345 17042 12917
4236,20119 11053 10842 10067 129 14022 11201 16859 6142 2729
4238,19152 18550 5503 19860 19809 19441 19435 18382 17687 16338
4251,7522 5829 6137 6714 7309 7482 2291 7890 8547 8628
4256,2777 1394 899 3856 4153 5206 6103 9342 9690 2873
4258,7387 2009 2288 3718 19454 10053 8188 7543 1965 1282
4262,11989 1831 20549 20469 16502 13585 19384 18706 12880 12591
4265,4186 17961 16760 16089 748 792 1061 1610 2855 3092
4267,19834 16568 16076 15677 14968 14661 14585 13863 13587 12559
4293,15570 14023 13894 12834 12639 12497 12182 11107 10624 9710
4295,5851 16968 18430 18643 20225 10656 10567 10466 9753 9700
4296,9947 6191 6600 6876 8643 9353 9792 9903 10310 10743
4297,10656 285 838 1209 2858 3453 6459 6884 8724 8861
4299,17277 17465 17579 17613 19004 19615 19910 20328 20363 16764
4300,830 1399 1947 2049 3799 4523 5006 5212 5793 6655
4302,7298 7680 9504 9779 10577 10580 12071 12114 7416 12395
4307,16223 15581 15438 10352 9641 1151 7583 7136 2254 8328
4309,7086 11930 18944 12398 12295 12076 10322 18490 9824 9098
4320,12379 12903 12974 13024 13592 15406 15705 12079 15968 17909
4345,13548 18241 17786 17562 16406 15713 15710 15229 12707 11609
4348,11943 5735 8052 8565 13642 13601 12429 5178 4483 3375
4371,18848 18820 16580 225 1138 1384 1497 2357 3102 15051
4385,20415 1370 1458 2060 2166 2575 2649 2886 3565 3655
